date,median_pred_mwh,p10_mwh,p50_mwh,p90_mwh
2025-01-01,3029405.616230955,2892394.005572047,3014230.9058220508,3197890.363572046
2025-01-02,3064681.286233563,2906446.3945746585,3071702.923574659,3216518.9068246596
2025-01-03,2934558.735135963,2794962.110977059,2932711.2147270585,3092299.3092270587
2025-01-04,3084982.441597807,2927194.9943889035,3101276.9426889042,3238098.3616389004
2025-01-05,2887304.291581856,2696245.0534229483,2922061.9431729494,3048295.192722948
2025-01-06,3154695.606597671,3026656.2779387687,3180970.5154387667,3306880.7802387634
2025-01-07,3015271.2616271945,2887454.1435682923,3015859.300968292,3158851.9618682903
2025-01-08,3144640.4878536994,3011560.6746947938,3148091.256194799,3295304.692344794
2025-01-09,3010577.981084935,2851515.6020260286,3008432.2584260292,3147872.1101760347
2025-01-10,3118283.0786253377,2972019.3022164362,3118413.6292164316,3269186.9364664326
2025-01-11,2972509.886275483,2845155.0857165796,2978207.2296165805,3109501.6139665795
2025-01-12,3161439.353300822,2984331.6678419136,3158127.984641916,3319179.9273919174
2025-01-13,3047779.320893289,2888724.826734382,3061898.462984384,3218594.914734388
2025-01-14,3018337.022891917,2853365.6706330106,3016916.6717330124,3167276.3717330154
2025-01-15,3164261.1227308214,3037884.245821919,3177777.248321915,3332745.8700719127
2025-01-16,3058524.990693153,2924497.7323342473,3061831.2702842513,3194493.7734342497
2025-01-17,3065469.9577569854,2923610.5710980827,3067151.4100980777,3216946.4308980824
2025-01-18,3067231.5399599993,2919002.239951097,3070236.4965510946,3217895.4545010943
2025-01-19,3079857.6557948603,2917719.3406359577,3087515.371135955,3230821.7417359552
2025-01-20,3070565.2189561636,2896251.9332972635,3060107.5765472613,3204403.4276472596
2025-01-21,3093377.861494381,2928406.5092354747,3105413.0338354753,3245760.1445354735
2025-01-22,3055129.1836656164,2915429.949956713,3055942.330006712,3211949.328056712
2025-01-23,3079610.4284634204,2887865.0340045127,3064341.9723045174,3203401.4711545175
2025-01-24,3052028.881440821,2902798.712581919,3053276.180781915,3219747.522081921
2025-01-25,3093488.6723167794,2934434.1781578725,3082272.62915788,3227233.7075578747
2025-01-26,3014222.644864109,2866965.5245052064,3028341.786955204,3162628.781955207
2025-01-27,3177395.9206358194,3016610.3799769166,3177099.301976913,3336623.153876915
2025-01-28,3109885.1755331513,2884412.766324245,3101227.6848742436,3246262.4183242423
2025-01-29,3046780.3627900686,2909407.6412311615,3063456.6873811665,3198965.536431161
2025-01-30,3154932.688595204,3008164.5970863025,3174904.996686301,3314149.6051362995
2025-01-31,3150258.529040206,3021493.9657813045,3165413.4886313016,3284242.3041813015
2025-02-01,3148803.5573835624,3007525.0545246596,3153243.7454746584,3284422.29617466
2025-02-02,3158912.907755548,3000050.752096641,3167314.0333466423,3309874.3841466447
2025-02-03,3119651.977712467,2921040.9795035627,3119050.1730535617,3276308.0840535625
2025-02-04,3038083.840910956,2879021.4618520495,3045499.4690020513,3176262.078702051
2025-02-05,3146914.9660602757,3022284.983051373,3153936.6034013717,3297818.8239013706
2025-02-06,3139345.886718288,2978245.564159385,3160004.5505593857,3308096.7355593815
2025-02-07,3103304.6452310947,2967573.2555721905,3108762.3213221896,3251880.6050721924
2025-02-08,3119555.4833246553,2957346.204065755,3135813.3066657535,3263076.937815751
