,ens_1,ens_2,ens_3,ens_4,ens_5,ens_6,ens_7,ens_8,ens_9,ens_10
2025-01-01,2804561.7685720483,2902173.2420720533,2929262.4630720466,2987260.3605720513,3126497.63807205,3002630.6475720475,3130521.8155720495,2804561.7685720483,2775720.2175720544,3326598.325572053
2025-01-02,3044280.5065746587,3142235.0940746586,3044280.5065746587,3224948.8670746544,3196306.791074656,3044280.5065746587,3028068.4520746567,2996051.0975746587,3117264.6680746637,3018820.6230746587
2025-01-03,2894062.0394770624,2773694.3454770627,2794962.110977059,2710081.2194770607,2833437.9614770636,3072676.1769770584,2925898.74747706,3102059.5189770595,2834415.581977055,2888698.071977059
2025-01-04,2771958.9989389037,3176036.239938897,3176093.5739389043,3073657.38443891,2772323.360938906,3227967.7364389026,2759216.877938904,3044596.4029389033,3063514.1039389013,3076322.453938904
2025-01-05,2696245.0534229483,2893022.876922951,2950762.201922949,3070247.686922953,2822225.7329229526,3047571.8724229475,2927476.3374229544,2772332.567422949,3147428.5024229516,3057273.007922953
2025-01-06,3117585.2864387673,3202551.7349387715,3143880.309438768,3306201.7454387634,3093233.9239387605,3414819.8174387664,3135877.450438765,2803605.0769387693,3133227.268938765,3086065.4179387665
2025-01-07,3081655.267468291,3254111.293968291,2999176.756968288,3120773.2134682834,3065943.291468292,3084622.1999682914,2923464.3344682953,2981120.913468289,2790793.745968292,3097842.469468288
2025-01-08,3176654.655694798,3128545.983194793,3292987.3791947975,3011560.6746947938,3262402.5666947947,3394216.663694789,3011560.6746947938,3139368.0096947956,3241691.5171947917,3185492.5511947973
2025-01-09,2949116.2984260246,2962959.2349260356,2919952.732426033,3043871.564926027,2978311.455426032,2805755.209426037,3146308.023926032,2884296.159426032,2975624.889426032,3235864.8524260353
2025-01-10,3153430.6054664347,3203730.4394664327,3121444.8694664347,3242665.701466435,3253821.0519664357,3070643.936466428,3174551.525966424,3210533.4999664254,3082591.1159664337,3073996.6949664294
